"","year","countryname","Group","TotalSub"
"340",2019,"Finland","Petroleum",53.5675550538371
"341",2019,"France","Coal",1983.77566824896
"342",2019,"France","Fossil-based electricity",0
"343",2019,"France","Natural gas",94.499763144479
"344",2019,"France","Petroleum",19263.9699512349
"345",2019,"Germany","Coal",18399.2271239602
"346",2019,"Germany","Fossil-based electricity",0
"347",2019,"Germany","Natural gas",339.945851245134
"348",2019,"Germany","Petroleum",54800.8074003355
"349",2019,"India","Coal",130399.455818151
"350",2019,"India","Fossil-based electricity",19578.3551181981
"351",2019,"India","Natural gas",7399.3664561192
"352",2019,"India","Petroleum",89675.2669981896
"353",2019,"Indonesia","Coal",31045.8486982626
"354",2019,"Indonesia","Fossil-based electricity",13797.2705739925
"355",2019,"Indonesia","Natural gas",7332.7402430144
"356",2019,"Indonesia","Petroleum",71676.5894524644
"357",2019,"Ireland","Coal",914.53181932672
"358",2019,"Ireland","Fossil-based electricity",0
"359",2019,"Ireland","Natural gas",47.0805204755257
"360",2019,"Ireland","Petroleum",2534.41762019798
"361",2019,"Italy","Coal",1504.54410903364
"362",2019,"Italy","Fossil-based electricity",0
"363",2019,"Italy","Natural gas",51.8606222383653
"364",2019,"Italy","Petroleum",19550.6934585569
"365",2019,"Japan","Coal",41808.1398686296
"366",2019,"Japan","Fossil-based electricity",19599.1023353962
"367",2019,"Japan","Natural gas",8106.52020129886
"368",2019,"Japan","Petroleum",133958.25236875
"369",2019,"Luxembourg","Coal",12.5315737816365
"370",2019,"Luxembourg","Fossil-based electricity",382.204398929869
"371",2019,"Luxembourg","Natural gas",68.2571900162339
"372",2019,"Luxembourg","Petroleum",2505.05255557527
"373",2019,"Mexico","Coal",3783.38739673737
"374",2019,"Mexico","Fossil-based electricity",3319.13883012077
"375",2019,"Mexico","Natural gas",9626.2695272644
"376",2019,"Mexico","Petroleum",50407.8983443399
"377",2019,"Russian Federation","Coal",110077.370186184
"378",2019,"Russian Federation","Fossil-based electricity",28788.3274550893
"379",2019,"Russian Federation","Natural gas",61099.0675618839
"380",2019,"Russian Federation","Petroleum",161377.029248046
"381",2019,"South Africa","Coal",39772.106502305
"382",2019,"South Africa","Fossil-based electricity",4446.49250713865
"383",2019,"South Africa","Natural gas",0.80417814815951
"384",2019,"South Africa","Petroleum",7162.95088123406
"385",2019,"Spain","Coal",2078.71281456153
"386",2019,"Spain","Fossil-based electricity",251.622045871492
"387",2019,"Spain","Natural gas",0
"388",2019,"Spain","Petroleum",17051.3735791403
"389",2019,"Turkiye","Coal",35712.3496067031
"390",2019,"Turkiye","Fossil-based electricity",2376.64488624718
"391",2019,"Turkiye","Natural gas",9620.6399937135
"392",2019,"Turkiye","Petroleum",17793.8497718734
"393",2019,"United Kingdom","Coal",3158.7495126492
"394",2019,"United Kingdom","Fossil-based electricity",0
"395",2019,"United Kingdom","Natural gas",5805.3193530874
"396",2019,"United Kingdom","Petroleum",33037.4824120551
"397",2019,"United States","Coal",134192.385579077
"398",2019,"United States","Fossil-based electricity",0
"399",2019,"United States","Natural gas",103609.673846683
"400",2019,"United States","Petroleum",543070.563123253
"401",2020,"Belgium","Coal",595.037130361593
"402",2020,"Belgium","Fossil-based electricity",0
"403",2020,"Belgium","Natural gas",327.746716406678
"404",2020,"Belgium","Petroleum",2751.50768008218
"405",2020,"Brazil","Coal",4858.7012645704
"406",2020,"Brazil","Fossil-based electricity",0
"407",2020,"Brazil","Natural gas",331.320941585128
"408",2020,"Brazil","Petroleum",50516.7280867476
"409",2020,"China","Coal",1126369.50107548
"410",2020,"China","Fossil-based electricity",64736.5063620895
"411",2020,"China","Natural gas",20196.2563281702
"412",2020,"China","Petroleum",346542.170756403
"413",2020,"Denmark","Coal",154.757130307445
