"","Group","Country","Scenario","Benefit_cum","Pop_cum"
"431","Bin7","India","Cash",0.000209108205671932,0.000135726787838962
"432","Bin7","Ireland","Cash",0,0
"433","Bin7","Italy","Cash",0,0
"434","Bin7","Japan","Cash",0,0
"435","Bin7","Luxembourg","Cash",0,0
"436","Bin7","Mexico","Cash",5.07309044132548e-05,2.12057519043405e-05
"437","Bin7","Russian Federation","Cash",7.91810393616807e-05,5.44834297756838e-05
"438","Bin7","Turkiye","Cash",0.000132753872573461,3.5348558119947e-05
"439","Bin7","United States","Cash",0,0
"440","Bin7","South Africa","Cash",0.00118653561869738,0.000742671151559479
"441","Bin7","Belgium","SP_current",0,0
"442","Bin7","Brazil","SP_current",0,0
"443","Bin7","China","SP_current",0,0
"444","Bin7","Germany","SP_current",0,0
"445","Bin7","Denmark","SP_current",0,0
"446","Bin7","Spain","SP_current",0,0
"447","Bin7","Finland","SP_current",0,0
"448","Bin7","France","SP_current",7.00545091516401e-05,4.70212697567399e-05
"449","Bin7","United Kingdom","SP_current",0,0
"450","Bin7","Indonesia","SP_current",5.16331689531903e-06,2.7287209063971e-06
"451","Bin7","India","SP_current",0.000147981196759714,0.000135726787838962
"452","Bin7","Ireland","SP_current",0,0
"453","Bin7","Italy","SP_current",0,0
"454","Bin7","Japan","SP_current",0,0
"455","Bin7","Luxembourg","SP_current",0,0
"456","Bin7","Mexico","SP_current",4.86389011162424e-05,2.12057519043405e-05
"457","Bin7","Russian Federation","SP_current",7.33845434398431e-05,5.44834297756838e-05
"458","Bin7","Turkiye","SP_current",0.000114304324210556,3.5348558119947e-05
"459","Bin7","United States","SP_current",0,0
"460","Bin7","South Africa","SP_current",0.000947402447672133,0.000742671151559479
"461","Bin7","Belgium","SP_covid",0,0
"462","Bin7","Brazil","SP_covid",0,0
"463","Bin7","China","SP_covid",0,0
"464","Bin7","Germany","SP_covid",0,0
"465","Bin7","Denmark","SP_covid",0,0
"466","Bin7","Spain","SP_covid",0,0
"467","Bin7","Finland","SP_covid",0,0
"468","Bin7","France","SP_covid",4.70212697567399e-05,4.70212697567399e-05
"469","Bin7","United Kingdom","SP_covid",0,0
"470","Bin7","Indonesia","SP_covid",3.41810437275181e-06,2.7287209063971e-06
"471","Bin7","India","SP_covid",0.000135726787838962,0.000135726787838962
"472","Bin7","Ireland","SP_covid",0,0
"473","Bin7","Italy","SP_covid",0,0
"474","Bin7","Japan","SP_covid",0,0
"475","Bin7","Luxembourg","SP_covid",0,0
"476","Bin7","Mexico","SP_covid",4.86389028744242e-05,2.12057519043405e-05
"477","Bin7","Russian Federation","SP_covid",5.44834297756838e-05,5.44834297756838e-05
"478","Bin7","Turkiye","SP_covid",9.35573098086555e-05,3.5348558119947e-05
"479","Bin7","United States","SP_covid",0,0
"480","Bin7","South Africa","SP_covid",0.000747676178505089,0.000742671151559479
"481","Bin8","Belgium","Cash",0,0
"482","Bin8","Brazil","Cash",0,0
"483","Bin8","China","Cash",0,0
"484","Bin8","Germany","Cash",0,0
"485","Bin8","Denmark","Cash",0,0
"486","Bin8","Spain","Cash",0,0
"487","Bin8","Finland","Cash",0,0
"488","Bin8","France","Cash",8.63097557421873e-05,4.97565352805852e-05
"489","Bin8","United Kingdom","Cash",0,0
"490","Bin8","Indonesia","Cash",1.08785838173076e-05,4.75075211697579e-06
"491","Bin8","India","Cash",0.000220427780624909,0.000143074034414643
"492","Bin8","Ireland","Cash",0,0
"493","Bin8","Italy","Cash",0,0
"494","Bin8","Japan","Cash",0,0
"495","Bin8","Luxembourg","Cash",0,0
"496","Bin8","Mexico","Cash",8.44897157544341e-05,3.48303020302575e-05
"497","Bin8","Russian Federation","Cash",8.19107202008826e-05,5.63616871907369e-05
"498","Bin8","Turkiye","Cash",0.000150617715480309,4.01051883936808e-05
"499","Bin8","United States","Cash",0,0
"500","Bin8","South Africa","Cash",0.00125767143486322,0.000787196168488182
"501","Bin8","Belgium","SP_current",0,0
"502","Bin8","Brazil","SP_current",0,0
"503","Bin8","China","SP_current",0,0
"504","Bin8","Germany","SP_current",0,0
"505","Bin8","Denmark","SP_current",0,0
"506","Bin8","Spain","SP_current",0,0
"507","Bin8","Finland","SP_current",0,0
"508","Bin8","France","SP_current",7.41296369536689e-05,4.97565352805852e-05
"509","Bin8","United Kingdom","SP_current",0,0
"510","Bin8","Indonesia","SP_current",9.02410520828417e-06,4.75075211697579e-06
"511","Bin8","India","SP_current",0.000155991806591931,0.000143074034414643
"512","Bin8","Ireland","SP_current",0,0
"513","Bin8","Italy","SP_current",0,0
"514","Bin8","Japan","SP_current",0,0
"515","Bin8","Luxembourg","SP_current",0,0
"516","Bin8","Mexico","SP_current",8.1005591708821e-05,3.48303020302575e-05
"517","Bin8","Russian Federation","SP_current",7.59143963406912e-05,5.63616871907369e-05
"518","Bin8","Turkiye","SP_current",0.000129685528929393,4.01051883936808e-05
"519","Bin8","United States","SP_current",0,0
"520","Bin8","South Africa","SP_current",0.00100420162444414,0.000787196168488182
"521","Bin8","Belgium","SP_covid",0,0
"522","Bin8","Brazil","SP_covid",0,0
"523","Bin8","China","SP_covid",0,0
